Date,NGDP,WSGDP,COFS,Tax,DR,DCPS,AGRO,GREV,GEXP,taxProfit,energyTotal,energyPopul,energyPrice,indexInstitute,indexBureau,indexPayment,indexDemocracy,UNEMPL,INFL,RealInc,bvQ1,bvQ2,bvQ3,bvCrisis,M1,M2,M0,CH,NPLa,NPLp,SID,CM,vTax
2017 Q4,25621.2452341061,46.1,8089.067,10.9,5.37333333333334,52.0765975053134,5.9,15088.9148432636,16420.3030827401,1610.398256,1089104.7,155669,2579,-1.74609493705293,0.00922763278981593,1.3106417558764,1.75321083714728,5.06666666666667,0.842205847999988,22116.4167141508,0,0,0,0,19508.9,42442.2,8446,356095,2694.292434,6.02349322530387,8689.639,19.0590190894911,2792.71573051757
2018 Q1,22474.4642928263,48.6,8445.609,11.6,5.46,51.8682818298404,5.9,16180.2783904386,16493.4779896549,1538.540123,1093862.025,156578.075,2579.75,-1.72791772849647,-0.00582381646322299,1.28833732789118,1.76611875028991,5.06666666666667,0.812160887899993,20858.682647656,1,0,0,0,19347.7,42377,8442.6,377513,2836.52316,6.48220494106049,8675.751,19.9297000731529,2607.03785796785
2018 Q2,24969.759104845,46.1,8442.083,11.9,5.26,51.6599661543673,5.9,17271.6419376137,16566.6528965698,1615.02368,1098619.35,157487.15,2580.5,-1.70974051994002,-0.0208752657162619,1.41334916154549,1.77902666343253,4.76666666666667,1.2551750756,22516.8052135475,0,1,0,0,20604.4,44126.7,8945.5,378582,2781.173928,6.15950173284809,8898.644,19.1314623572576,2971.40133347656
2018 Q3,27196.8435499613,42.7,8944.979,11.7,5.05333333333333,51.4516504788943,5.9,18363.0054847887,16639.8278034847,1579.152193,1103376.675,158396.225,2581.25,-1.69156331138357,-0.0359267149693008,1.39219326820227,1.79193457657515,4.6,0.440475043199995,21083.8729845743,0,0,1,0,20575.5,44254.7,9138.7,381672,2849.142091,6.06203648989453,9043.279,20.2124949440398,3182.03069534547
2018 Q4,29220.5841415024,42.4,9138.168,11.7,5.68333333333333,51.2433348034213,5.9,19454.3690319637,16713.0027103995,2024.726262,1108134,159305.3,2582,-1.67338610282711,-0.0509781642223397,1.49590594492015,1.80484248971778,4.76666666666667,1.69890469999998,23219.6594714886,0,0,0,0,21624.1,47109.3,9339,381592,2723.161483,5.38706695539912,9176.396,19.3978004343091,3418.80834455578
2019 Q1,24552.0817526615,46.2,9338.551,11.8,6.06666666666669,51.6169752949885,5.875,19637.9759761068,17088.3814035256,1690.700551,1108613.075,159698.425,2596.5,-1.65283416794892,-0.0109017410884084,1.44832217857041,2.14298808396358,4.83333333333333,1.7790982208,21398.6925241017,1,0,0,0,20810.6,46141.2,8980.6,397792,3217.573522,6.27303088285403,9497.341,20.239072672579,2897.14564681406
2019 Q2,26567.5305021549,45,8979.985,11.3,5.69,51.9906157865558,5.85,19821.5829202498,17463.7600966517,1874.774653,1109092.15,160091.55,2611,-1.63228223307073,0.029174682045523,1.52181509092558,2.48113367820939,4.53333333333333,0.671238394399998,23437.0482022191,0,1,0,0,21717.7,47349.4,9192.8,418086,3303.243375,6.36055025156663,10135.103,18.965361757488,3002.1309467435
2019 Q3,28245.5082416055,42.6,9192.298,11,5.18000000000001,52.3642562781231,5.825,20005.1898643929,17839.1387897779,1738.303312,1109571.225,160484.675,2625.5,-1.61173029819253,0.0692511051794543,1.64896774404987,2.8192792724552,4.43333333333333,-0.200415232000006,22162.3964292801,0,0,1,0,22430,48266.8,9411.9,423077,3388.808752,6.3693639831565,10597.713,19.0447636884981,3107.00590657661
2019 Q4,29876.4159108117,42.9,9411.341,11,4.68,52.7378967696903,5.8,20188.796808536,18214.517482904,2009.520868,1110050.3,160877.8,2640,-1.59117836331434,0.109327528313386,1.83249774225165,3.15742486670101,4.6,0.771841310400023,24858.2430932516,0,0,0,0,23861.7,51660.3,9658.4,443983,3258.412122,5.87618568580701,10171.932,18.217743605825,3286.40575018929
2020 Q1,24756.7136803568,49.6,9657.863,11.3,4.29999999999999,54.5455053431292,5.85,19821.3700902055,19366.276728203,1781.778104,1103799,161514.375,2645.25,-1.63178835792694,0.110452094200647,1.95478906108039,2.84688729680003,4.66666666666667,1.28534226000001,22978.5878219004,1,0,0,0,25136.4,52327,10241,443634,3355.787424,5.93585821763561,10339.5176456612,18.4567489059185,2797.50864588032
2020 Q2,23661.9247297179,52.3,10240.118,10.9,4.20666666666667,56.353113916568,5.9,19453.9433718749,20518.035973502,1532.151962,1097547.7,162150.95,2650.5,-1.67239835253955,0.111576660087907,2.04313730744887,2.53634972689904,6.03333333333333,1.32466593019998,23800.1359317238,0,1,0,0,27817.3,54392.6,11516.4,438082,3412.248212,5.90477408827952,11171.0598747951,18.826307255031,2579.14979553925
2020 Q3,27580.8343887135,44.9,11515.359,10.1,3.29333333333333,58.1607224900069,5.95,19086.5166535443,21669.795218801,1715.093027,1091296.4,162787.525,2655.75,-1.71300834715216,0.112701225975168,2.20083943355914,2.22581215699806,6.33333333333333,0.23964309800002,22918.9747998167,0,0,1,0,29513.5,56023.9,12072.8,444309,3553.619137,5.90100467349961,12402.286708654,20.5543687604754,2785.66427326006
2020 Q4,30967.9866294051,43,12071.694,11.4,3.27666666666666,59.9683310634457,6,18719.0899352138,22821.5544641,2149.62983,1085045.1,163424.1,2661,-1.75361834176476,0.113825791862429,2.40110393488196,1.91527458709708,6.1,1.98254033990002,25693.0888814514,0,0,0,0,31785.6,58652.1,12523.9,457020,3615.061507,6.54716884546379,14751.438,20.5818615190249,3530.35047575219
